Blacksmith Scene,W.K.L.Dickson & William Heise,1893,50,t
The Boxing Cats,W.K.L. Dickson & William Heise,1894,61,t
Edison Kinetoscopic Record of a Sneeze,W.K.L. Dickson & William Heise,1894,56,t
Caicedo (with Pole),W.K.L. Dickson & William Heise,1894,58,t
"Luis Martinetti, Contortionist",W.K.L. Dickson & William Heise,1894,58,t
Corbett and Courtney Before the Kinetograph,W.K.L. Dickson & William Heise,1894,58,t
The Barbershop,W.K.L. Dickson & William Heise,1894,59,t
Carmencita,W.K.L. Dickson & William Heise,1894,60,t
Sandow,W.K.L. Dickson & William Heise,1894,58,t
Glenroy Brothers (Comic Boxing),W.K.L. Dickson & William Heise,1894,59,t
The Cock Fight,W.K.L. Dickson & William Heise,1894,57,t
Carmaux: Cooling the Coke,Lumière,1895,68,t
Swimming in the Sea,Louis Lumière,1895,68,t
Children Digging For Clams,Lumière,1895,68,t
Place des Cordeliers,Louis Lumière,1895,67,t
The Sack Race,Louis Lumière,1895,66,t
Launching of a Ship,Louis Lumière,1895,64,t
Mechanical Butcher Shop,Louis Lumière,1895,63,t
Transformation By Hats,Louis Lumière,1895,62,t
Acrobatic Horsemen,Louis Lumière,1895,62,t
Childish Quarrel,Louis Lumière,1895,61,t
Loading a Boiler,Louis Lumière,1895,58,t
Photograph,Louis Lumière,1895,56,t
"Lion, London Zoological Garden",Lumière,1895,55,t
Serpentine Dance,W.K.L. Dickson & William Heise,1895,58,t
Rough Sea at Dover,Brit Acres & R.W. Paul,1895,50,t
Snowball Fight,Lumière,1896,71,t
Children Playing Marbles,Lumière,1896,68,t
The Kiss,William Heise,1896,68,t
Dragoons Crossing the Saône,Lumière,1896,67,t
"Russia: Moscow, Tverskaïa Street",Francis Doublier & Charles Moisson,1896,67,t
Leaving Jerusalem By Railway,Alexandre Promio,1896,67,t
Paris: Champs-élysées,Lumière,1896,66,t
Bicyclist,Louis Lumière,1896,66,t
New York: Broadway at Union Square,Alexandre Promio,1896,66,t
New York: Brooklyn Bridge,Alexandre Promio,1896,66,t
Mexico: Bathing the Horses,Gabriel Veyre,1896,65,t
Venice: View of the Grand Canal from a Boat,Alexandre Promio,1896,65,t
Brooklyn: Fulton Street,Alexandre Promio,1896,65,t
Grotesque Rollerskater,Lumière,1896,64,t
Writing Backwards,Lumière,1896,64,t
Promenade of Ostriches,Lumière,1896,63,t
"Arab Cortege, Geneva",Alexandre Promio,1896,63,t
Chicago: Parade of Policemen,Alexandre Promio,1896,62,t
"Jerusalem: Port of Jaffa, East Coast",Alexandre Promio,1896,62,t
New York: Whitehall Street,Alexandre Promio,1896,61,t
New York: Arrival of a Train at Battery Place,Alexandre Promio,1896,61,t
Constantinople: Turkish Artillery,Alexandre Promio,1896,60,t
Constantinople: View of the Come d'Or,Alexandre Promio,1896,60,t
London: Arrival of the Cinématograph,Lumière,1896,59,t
Hitched to a Truck (The Stonecarver's Team),Lumière,1896,59,t
The Nanny and the Soldier,Lumière,1896,58,t
A Fire Run (Lyon),Lumière,1896,57,t
Berlin: Panoptikum Theatre - Friedrichstrasse,Alexandre Promio,1896,57,t
Spain: Encampment Dance,Lumière,1896,56,t
Algeria: The Muezzin's Prayer,Lumière,1896,56,t
Poultry-yard,Lumière,1896,55,t
The Derby,R.W. Paul,1896,50,t
Serpentine Dance by Annabell,William Heise,1896,49,t
Feeding the Doves,James H. White & William Heise,1896,48,t
Harvesters,Lumière,1897,70,t
Washerwomen on the River,Lumière,1897,70,t
