The Boxing Cats,W.K.L. Dickson & William Heise,1894,61,t
Edison Kinetoscopic Record of a Sneeze,W.K.L. Dickson & William Heise,1894,56,t
Caicedo (with Pole),W.K.L. Dickson & William Heise,1894,58,t
The Barbershop,W.K.L. Dickson & William Heise,1894,59,t
Carmencita,W.K.L. Dickson & William Heise,1894,60,t
Sandow,W.K.L. Dickson & William Heise,1894,58,t
Swimming in the Sea,Louis Lumière,1895,68,t
The Sack Race,Louis Lumière,1895,66,t
Childish Quarrel,Louis Lumière,1895,61,t
Serpentine Dance,W.K.L. Dickson & William Heise,1895,58,t
"Russia: Moscow, Tverskaïa Street",Francis Doublier & Charles Moisson,1896,67,t
Paris: Champs-élysées,Lumière,1896,66,t
Promenade of Ostriches,Lumière,1896,63,t
"Arab Cortege, Geneva",Alexandre Promio,1896,63,t
Constantinople: View of the Come d'Or,Alexandre Promio,1896,60,t
London: Arrival of the Cinématograph,Lumière,1896,59,t
Hitched to a Truck (The Stonecarver's Team),Lumière,1896,59,t
The Nanny and the Soldier,Lumière,1896,58,t
A Fire Run (Lyon),Lumière,1896,57,t
Poultry-yard,Lumière,1896,55,t
Serpentine Dance by Annabell,William Heise,1896,49,t
Baby's First Steps,Louis Lumière,1897,69,t
Pillow Fight (No. 2),Lumière,1897,69,t
The Happy Skeleton,Lumière,1897,68,t
The Lover in the Bag,Georges Hatot,1897,67,t
Mattress-makers' Quarrel,Georges Hatot,1897,60,t
Automobile Accident,Lumière,1897,59,t
The Music-loving Sawyer,Georges Hatot,1897,58,t
Niagara Falls,Felix Mesguich,1897,57,t
Admiral Cigarette,William Heise,1897,56,t
Pie Eating Contest,Edison,1897,54,t
The Bitter Bit,Bamforth and Company,1897,52,t
Dewars Scotch Whiskey,International Film Co.,1897,49,t
President McKinley at Home,W.K.L. Dickson,1897,45,t
Leander Sisters,Frederick Blechynden,1897,44,t
Cattle Driven to Slaughter,William Heise,1897,43,t
The Four Troublesome Heads,Georges Méliès,1898,69,t
"Turkish Dance, Ella Lola",Edison,1898,55,t
Elopement on Horseback,Edison,1898,54,t
Pack Train at Chilkoot Pass,Robert Bonine & Thomas Crahan,1898,53,t
Little Mischief,J. Stuart Blackton & Albert E. Smith,1898,48,t
Burial of the 'Maine' Victims,William S. Paley,1898,39,t
Battleship 'Maine',William S. Paley,1898,37,t
"Indochina: Namo Village, Panorama Taken from a Rickshaw",Gabriel Veyre,1899,74,t
Indochina: Opium Den,Gabriel Veyre,1899,70,t
Indochina: Children Gathering Rice Scattered by Western Women,Gabriel Veyre,1899,70,t
Oil Wells of Bakou: Close View,Lumière,1899,68,t
The Little Girl and Her Cat,Lumière,1899,66,t
"Festival of Paris, 1899: Parade of Flowered Cars",Lumière,1899,64,t
Kremos: The Pyramid,Lumière,1899,63,t
Strange Adventure of New York Drummer,Edwin S. Porter,1899,56,t
Mesmerist and Country Couple,J. Stuart Blackton & Albert E. Smith,1899,54,t
Indochina: Loading a Cow on Ship,Gabriel Veyre,1899,55,t
Love and War,James H. White,1899,45,t
Fun In Camp,James H. White,1899,44,t
Trick Bears,James H. White,1899,43,t
Advance of Kansas Volunteers at Caloocan,James H. White,1899,42,t
Three Acrobats,James H. White,1899,40,t
Spanish Bullfight,Lumière,1900,67,t
Place du Pont,Lumière,1900,66,t
"Universal Exhibition, 1900: View of a Moving Sidewalk",Lumière,1900,65,t
The One-Man Band,Georges Méliès,1900,60,t
Fat and Lean Wrestling Match,Georges Méliès,1900,59,t
The Enchanted Drawing,J. Stuart  Blackton,1900,64,t
Uncle Josh's Nightmare,Edwin S. Porter,1900,60,t
How it Feels To Be Run Over,Cecil M. Hepworth,1900,58,t
Explosion of a Motor Car,Cecil M. Hepworth,1900,57,t
The Big Swallow,James Williamson,1900,55,t
As Seen Through a Telescope,G.A. Smith,1900,53,t
Attack on a China Mission,James Williamson,1900,51,t
Ladies' Skirts Nailed to a Fence,Bamforth and Company,1900,49,t
The Haunted Curiosity Shop,Walter R. Booth,1901,68,t
Bluebeard,Georges Méliès,1901,67,t
The Man With the Rubber Head,Georges Méliès,1901,67,t
Dream and Reality,Pathé Freres,1901,65,t
Peeping Tom,Pathé Frères,1901,62,t
The Old Maid Having Her Picture Taken,Edwin S. Porter,1901,61,t
Love by the Light of the Moon,Edwin S. Porter,1901,60,t
Martyred Presidents,Edwin S. Porter,1901,57,t
Daring Daylight Burglary,Frank Mottershaw,1901,51,t
"Terrible Teddy, the Grizzly King",Edwin S. Porter,1901,50,t
"Mont Blanc, the Alps",Lumière,1901,50,t
Capture of the Biddle Brothers,Edwin S. Porter,1901,49,t
Circular Panorama of the Electric Tower,Edwin S. Porter,1901,47,t
Panorama of Esplenade by Night,Edwin S. Porter,1901,46,t
Sampson and Schley Controversy - Tea Party,Edwin S. Porter,1901,45,t
Star Theatre,Frederick S. Armitage,1901,44,t
The Victims of Alcoholism,Ferdinand Zecca,1902,71,t
Fun in a Bakery Shop,Edwin S. Porter,1902,66,t
Quo Vadis?,Ferdinand Zecca,1902,64,t
Uncle Josh at the Moving Picture Show,Edwin S. Porter,1902,63,t
The Twentieth Century Tramp,Edwin S. Porter,1902,62,t
"Arrival of the Governor General, Lord Minto at Quebec",William S. Paley,1902,45,t
"Levi and Cohen, the Irish Comedians",Edwin S. Porter,1902,48,t
"Bird's-Eye View of San Francisco, Cal., From a Balloon",Edison,1902,44,t
Kingdom of the Fairies,Georges Méliès,1903,73,t
The Enchanter Alcofisbas,Georges Méliès,1903,68,t
Ten Ladies in One Umbrella,Georges Méliès,1903,67,t
The Magic Lantern,Georges Méliès,1903,66,t
The Spiritualist Photographer,Georges Méliès,1903,65,t
The Inn Where No Man Rests,Georges Méliès,1903,64,t
The 20th Century Illusionist,Georges Méliès,1903,63,t
The Enchanted Well,Georges Méliès,1903,62,t
Life of an American Fireman,Edwin S. Porter,1903,62,t
The Apparition,Georges Méliès,1903,61,t
the Drawing Lesson,Georges Méliès,1903,60,t
The Oracle of Delphi,Georges Méliès,1903,59,t
The Infernal Cake-walk,Georges Méliès,1903,58,t
The Music Lover,Georges Méliès,1903,57,t
The Infernal Boiling Pot,Georges Méliès,1903,56,t
"Bob Kick, the Mischevious Kid",Georges Méliès,1903,55,t
Le Tonnerre de Jupiter,Georges Méliès,1903,54,t
