WatchedDate,Title,Directors,Year,Rating
01/01/1998, Midnight in the Garden of Good and Evil, Clint Eastwood, 1997, 35
01/01/1998, Day For Night, François Truffaut, 1973, 66
01/03/1998, Capitaine Conan, Bertrand Tavernier, 1996, 68
01/03/1998, Antonio Gaudí, Hiroshi Teshigahara, 1984, 69
01/04/1998, Mon oncle, Jacques Tati, 1958, 77
01/04/1998, As Good as it Gets, Albert Brooks, 1997, 52
01/05/1998, L'Enfer, Claude Chabrol, 1994, 69
01/06/1998, Kundun, Martin Scorsese, 1997, 56
01/07/1998, Signing Off, Robert Sarkies, 1996, 48
01/07/1998, Forgotten Silver, Peter Jackson, 1996, 68
01/08/1998, A Self-Made Hero, Jacques Audiard, 1996, 68
01/10/1998, The Rainmaker, Francis Ford Coppola, 1997, 49
01/10/1998, Love Streams, John Cassavetes, 1984, 88
01/11/1998, Wag the Dog, Barry Levinson, 1997, 65
01/11/1998, Minnie and Moskowitz, John Cassavetes, 1971, 75
01/12/1998, The Killing of a Chinese Bookie, John Cassavetes, 1976, 66
01/14/1998, The Adjuster, Atom Egoyan, 1991, 76
01/15/1998, Husbands, John Cassavetes, 1970, 80
01/16/1998, Jackie Brown, Quentin Tarantino, 1997, 74
01/17/1998, Tomorrow Never Dies, Roger Spottiswoode, 1997, 24
01/17/1998, Jour de fête [color version], Jacques Tati, 1948, 81
01/19/1998, Afterglow, Alan Rudolph, 1997, 59
01/19/1998, The Winter Guest, Alan Rickman, 1997, 60
01/21/1998, Welcome to Sarajevo, Michael Winterbottom, 1997, 60
01/23/1998, Happy Together, Wong Kar-Wai, 1997, 70
01/24/1998, Maborosi, Hirokazu Kore-eda, 1995, 71
01/24/1998, Devil's Advocate, Taylor Hackford, 1997, 49
01/25/1998, Oscar & Lucinda, Gillian Armstrong, 1997, 56
01/26/1998, Lumiere and Company, Sarah Moon/Patrice Leconte/Gabriel Axel/Claude Miller/Jacques Rivette/Michael Haneke/Fernando Trueba/Merzak Allouache/Raymond Depardon/Wim Wenders/Jaco von Dormael/Nadine Trintignant/Régis Wargnier/Hugh Hudson/Zhang Yimou/ Liv Ullmann/Vicente Aranda/Lucian Pintilie/John Boorman/Claude Lelouch/Abbas Kiarostami/Lasse Hallström/Costa Gavras/Kiju Yoshida/Idrissa Ouedraogo/Gaston Kaboré/Helma Sanders/Francis Girod/Cédric Klapisch/Alain Corneau/Ismael Merchant & James Ivory/Jerry Schatzberg/Spike Lee/Andrei Konchalovsky/Peter Greenaway/Bigas Luna/Arthur Penn/David Lynch/Théo Angelopoulos/Youssef Chahine, 1995, 66
01/28/1998, Delinquent, Peter Christian Hall, 1995, 47
01/31/1998, Stairway to Heaven, Michael Powell & Emeric Pressburger, 1946, 84
01/31/1998, Woman in the Dunes, Hiroshi Teshigahara, 1964, 91
02/01/1998, Zero Effect, Jake Kasdan, 1998, 62
02/02/1998, Shivers, David Cronenberg, 1975, 89
02/02/1998, Career Girls, Mike Leigh, 1997, 72
02/03/1998, Eye of God, Tim Blake Nelson, 1996, 63
02/06/1998, Underground, Emir Kusturica, 1995, 82
02/07/1998, The Quiet Room, Rolf de Heer, 1996, 48
02/07/1998, The Eighteenth, Anders Rønnow-Klarlund, 1996, 58
02/08/1998, For Ever Mozart, Jean-Luc Godard, 1996, 58
02/09/1998, Lilies, John Grayson, 1996, 64
02/11/1998, Faces, John Cassavetes, 1968, 83
02/12/1998, Illtown, Nick Gomez, 1996, 57
02/14/1998, Will It Snow For Christmas?, Sandrine Veysset, 1996, 78
02/14/1998, Eastern Elegy, Alexander Sokurov, 1996, 68
02/15/1998, Conspirators of Pleasure, Jan Švankmajer, 1996, 77
02/16/1998, L.A. Confidential, Curtis Hanson, 1997, 64
02/16/1998, Children of the Revolution, Peter Duncan, 1996, 62
02/18/1998, Ma vie en rose, Alain Berliner, 1997, 66
02/19/1998, Where's the Money, Ronnie?, Shane Meadows, 1996, 45
02/19/1998, Small Time, Shane Meadows, 1996, 51
02/21/1998, Live Flesh, Pedro Almodóvar, 1997, 58
02/21/1998, Mother and Son, Alexander Sokurov, 1997, 85
02/21/1998, The Apostle, Robert Duvall, 1997, 67
02/22/1998, Three Lives and Only One Death, Raúl Ruiz, 1996, 62
02/23/1998, Mammame, Raúl Ruiz, 1986, 70
02/25/1998, A Woman Under the Influence, John Cassavetes, 1974, 84
02/26/1998, Overstimulated, Jack Smith, 1963, 50
02/26/1998, Scotch Tape, Jack Smith, 1959, 48
02/26/1998, Respectable Creatures, Jack Smith, 1966, 60
02/26/1998, Bowery Dawn, Jack Smith, 1970, 52
02/26/1998, Hot Air Specialists, Jack Smith, 1970, 51
02/26/1998, The Death of P'town, Ken Jacobs, 1961, 50
02/26/1998, Saturday Afternoon Blood Sacrifice, Ken Jacobs, 1957, 52
02/26/1998, Little Cobra Dance, Ken Jacobs, 1957, 51
02/26/1998, Little Stabs at Happiness, Ken Jacobs, 1960, 91
02/26/1998, Star Spangled to Death [excerpts], Ken Jacobs, 1960, 40
02/27/1998, Song for Rent, Jack Smith, 1970, 54
02/27/1998, Reefers of Technicolor Island, Jack Smith, 1967, 50
02/27/1998, Dangerous Beauty, Marshall Herkowitz, 1998, 43
02/28/1998, Amistad, Steven Spielberg, 1997, 53
02/28/1998, Normal Love, Jack Smith, 1963, 49
02/28/1998, Normal Love Addendum Reel, Jack Smith, 1963, 46
02/28/1998, The Gingerbread Man, Robert Altman, 1998, 67
02/28/1998, Taste of Cherry, Abbas Kiarostami, 1997, 81
03/01/1998, Dark City, Alex Proyas, 1998, 42
03/02/1998, The Real Blonde, Tom DeCillo, 1997, 58
03/04/1998, History Lessons, Danièle Huillet & Jean-Marie Straub, 1972, 56
03/06/1998, Nil by Mouth, Gary Oldman, 1997, 83
03/07/1998, The Long Way Home, Mark Jonathan Harris, 1997, 50
03/08/1998, The Big Lebowski, Joel Coen, 1998, 73
03/11/1998, Mrs. Dalloway, Marleen Gorris, 1997, 48
03/11/1998, Gummo, Harmony Korine, 1997, 68
03/12/1998, Twilight, Robert Benton, 1998, 55
03/13/1998, Rat Life and Diet in North America, Joyce Wieland, 1968, 64
03/13/1998, Reason over Passion, Joyce Wieland, 1969, 50
03/14/1998, Love and Death on Long Island, Richard Kwietniowski, 1997, 84
03/15/1998, The Leading Man, John Duigan, 1996, 59
03/17/1998, Mean Streets, Martin Scorsese, 1973, 87
03/18/1998, My Name is Ivan, Andrei Tarkovsky, 1962, 65
03/19/1998, Citizen Ruth, Alexander Payne, 1996, 78
03/21/1998, Wild Things, John McNaughton, 1998, 55
03/22/1998, Days of Heaven, Terrence Malick, 1978, 93
03/22/1998, Fireworks (Hana-bi), Takeshi Kitano, 1997, 82
03/24/1998, Andrei Rublev, Andrei Tarkovsky, 1969, 93
03/26/1998, Madadayo, Akira Kurosawa, 1993, 67
03/27/1998, The Final Insult, Charles Burnett, 1997, 32
03/28/1998, The Boxer, Jim Sheridan, 1997, 61
03/29/1998, Chronicle of a Disappearance, Elia Suleiman, 1996, 65
03/30/1998, Love Serenade, Shirley Barrett, 1996, 61
03/31/1998, Lone Star, John Sayles, 1996, 65
04/01/1998, Men With Guns, John Sayles, 1997, 67
04/02/1998, Primary Colors, Mike Nichols, 1998, 64
04/03/1998, The Magnificent Ambersons, Orson Welles, 1942, 93
04/05/1998, The Newton Boys, Richard Linklater, 1998, 56
04/06/1998, I Know What You Did Last Summer, Jim Gillespie, 1997, 37
04/08/1998, Mon homme, Bertrand Blier, 1996, 64
04/09/1998, Dead Heart, Nick Parsons, 1996, 61
04/10/1998, Slacker, Richard Linklater, 1991, 92
04/12/1998, The Big One, Michael Moore, 1997, 62
04/13/1998, Mikey and Nicky, Elaine May, 1976, 78
04/18/1998, Ulysses' Gaze, Theo Angelopolous, 1995, 66
04/23/1998, Sonatine, Takeshi Kitano, 1993, 72
04/24/1998, The Delta, Ira Sachs, 1996, 61
04/28/1998, Ciy of Angels, Brad Silberling, 1998, 14
05/02/1998, Kurt and Courtney, Nick Broomfield, 1998, 62
05/05/1998, Betty Boop's Bamboo Isle, Dave Fleischer, 1932, 68
05/05/1998, Blonde Venus, Josef von Sternberg, 1932, 69
05/06/1998, Two Girls and a Guy, James Toback, 1998, 64
05/08/1998, The Spanish Prisoner, David Mamet, 1998, 64
05/09/1998, The Butcher Boy, Neil Jordan, 1998, 62
05/09/1998, He Got Game, Spike Lee, 1998, 32
05/11/1998, The Naked Kiss, Sam Fuller, 1964, 83
05/16/1998, Mouchette, Robert Bresson, 1967, 87
05/21/1998, A Single Girl, Benoît Jacquot, 1996, 70
05/23/1998, Character, Mike van Diem, 1997, 47
05/23/1998, Days of Being Wild, Wong Kar-Wai, 1991, 65
05/24/1998, I Think I Do, Brian Sloan, 1997, 44
05/24/1998, The Horse Whisperer, Robert Redford, 1998, 49
05/25/1998, Dancer, Texas Pop. 81, Tim McCanlies, 1998, 41
05/25/1998, The Man Who Would Be King, John Huston, 1975, 62
05/26/1998, Sliding Doors, Peter Howitt, 1997, 31
05/28/1998, Bulworth, Warren Beatty, 1998, 64
05/30/1998, Chinese Box, Wayne Wang, 1998, 60
06/01/1998, The Last Days of Disco, Whit Stillman, 1998, 75
06/02/1998, The Cool World, Shirley Clarke, 1963, 61
06/05/1998, The Battle, D.W. Griffith, 1911, 62
06/05/1998, The Female of the Species, D.W. Griffith, 1912, 67
