WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-01-01, Midnight in the Garden of Good and Evil, Clint Eastwood, 1997, 35, 2
1998-01-01, Day For Night, François Truffaut, 1973, 66, 3.5
1998-01-03, Capitaine Conan, Bertrand Tavernier, 1996, 68, 3.5
1998-01-03, Antonio Gaudí, Hiroshi Teshigahara, 1984, 69, 3.5
1998-01-04, Mon oncle, Jacques Tati, 1958, 77, 4
1998-01-04, As Good as it Gets, Albert Brooks, 1997, 52, 3
1998-01-05, L'Enfer, Claude Chabrol, 1994, 69, 3.5
1998-01-06, Kundun, Martin Scorsese, 1997, 56, 3
1998-01-07, Signing Off, Robert Sarkies, 1996, 48, 2.5
1998-01-07, Forgotten Silver, Peter Jackson, 1996, 68, 3.5
1998-01-08, A Self-Made Hero, Jacques Audiard, 1996, 68, 3.5
1998-01-10, The Rainmaker, Francis Ford Coppola, 1997, 49, 2.5
1998-01-10, Love Streams, John Cassavetes, 1984, 88, 4.5
1998-01-11, Wag the Dog, Barry Levinson, 1997, 65, 3.5
1998-01-11, Minnie and Moskowitz, John Cassavetes, 1971, 75, 4
1998-01-12, The Killing of a Chinese Bookie, John Cassavetes, 1976, 66
1998-01-14, The Adjuster, Atom Egoyan, 1991, 76
1998-01-15, Husbands, John Cassavetes, 1970, 80
1998-01-16, Jackie Brown, Quentin Tarantino, 1997, 74
1998-01-17, Tomorrow Never Dies, Roger Spottiswoode, 1997, 24
1998-01-17, Jour de fête [color version], Jacques Tati, 1948, 81
1998-01-19, Afterglow, Alan Rudolph, 1997, 59
1998-01-19, The Winter Guest, Alan Rickman, 1997, 60
1998-01-21, Welcome to Sarajevo, Michael Winterbottom, 1997, 60
1998-01-23, Happy Together, Wong Kar-Wai, 1997, 70
1998-01-24, Maborosi, Hirokazu Kore-eda, 1995, 71
1998-01-24, Devil's Advocate, Taylor Hackford, 1997, 49
1998-01-25, Oscar & Lucinda, Gillian Armstrong, 1997, 56
1998-01-26, Lumiere and Company, Sarah Moon-Patrice Leconte-Gabriel Axel-Claude Miller-Jacques Rivette-Michael Haneke-Fernando Trueba-Merzak Allouache-Raymond Depardon-Wim Wenders-Jaco von Dormael-Nadine Trintignant-Régis Wargnier-Hugh Hudson-Zhang Yimou- Liv Ullmann-Vicente Aranda-Lucian Pintilie-John Boorman-Claude Lelouch-Abbas Kiarostami-Lasse Hallström-Costa Gavras-Kiju Yoshida-Idrissa Ouedraogo-Gaston Kaboré-Helma Sanders-Francis Girod-Cédric Klapisch-Alain Corneau-Ismael Merchant & James Ivory-Jerry Schatzberg-Spike Lee-Andrei Konchalovsky-Peter Greenaway-Bigas Luna-Arthur Penn-David Lynch-Théo Angelopoulos-Youssef Chahine, 1995, 66
1998-01-28, Delinquent, Peter Christian Hall, 1995, 47
1998-01-31, Stairway to Heaven, Michael Powell & Emeric Pressburger, 1946, 84
